repo,number,url,title,body,merged,merged_by,author,keywords,comments,commits
grpc/grpc-java,12587,https://github.com/grpc/grpc-java/pull/12587,opentelemetry: Add target attribute filter for metrics,"Introduce an optional Predicate<String> targetAttributeFilter to control how grpc.target is recorded in OpenTelemetry client metrics.

When a filter is provided, targets rejected by the predicate are normalized to ""other"" to reduce grpc.target metric cardinality, while accepted targets are recorded as-is. If no filter is set, existing behavior is preserved.

This change adds a new Builder API on GrpcOpenTelemetry to allow applications to configure the filter. Tests verify both the Builder wiring and the target normalization behavior.

This is an optional API; annotation (e.g., experimental) can be added per maintainer guidance.

Refs #12322
Related: gRFC A109 – Target Attribute Filter for OpenTelemetry Metrics
https://github.com/grpc/proposal/pull/528
",2026-01-09T14:16:41Z,kannanjgithub,becomeStar,"readability, readable","Thanks for looping me in. I'll keep an eye on the Android desugaring discussion.
In the meantime, I've updated the PR and gRFC A109 with a null-safety check for the filtering logic to make it more robust.
If it turns out that using Java 8's Predicate causes compatibility concerns, I'm happy to adjust the interface accordingly (e.g., using a small custom functional interface), based on what the maintainers think is best. | /gcbrun | /gcbrun","opentelemetry: Add optional targetAttributeFilter to module

Introduce an optional Predicate<String> targetAttributeFilter in the
OpenTelemetryMetricsModule to control how grpc.target is recorded in
metrics. Also add support in GrpcOpenTelemetry.Builder to allow users
to configure this filter when building the module. | opentelemetry: Add Javadoc for target attribute filter | opentelemetry: Simplify ClientCall initialization in tests | opentelemetry: Rerun flaky test | opentelemetry: Rerun flaky test | opentelemetry: Add null safety to target filtering logic | opentelemetry: Use internal interface for target filter

Replace Predicate with a package-private TargetFilter interface in
fields to ensure compatibility with Android API levels < 24. This
prevents potential runtime issues for Android users who do not use
the filtering feature.

Mark the API as experimental and link the tracking issue. | opentelemetry: Avoid method reference for better Android compatibility | opentelemetry: Add @IgnoreJRERequirement for Android CI compatibility | opentelemetry: Rerun ci test | opentelemetry: Replace anonymous classes with lambdas/method references for TargetFilter"
grpc/grpc-java,11220,https://github.com/grpc/grpc-java/pull/11220,binder: Use the builder pattern to replace BinderClientTransport's long ctor arg list,Centralizes defaults as well. This will make it so much easier to add new channel parameters.,2024-05-23T18:50:37Z,jdcormie,jdcormie,"readability, readable",,No more long argument lists! | commit | changes | Merge branch 'grpc:master' into builder-ctor-arg | changes | Merge branch 'builder-ctor-arg' of https://github.com/jdcormie/grpc-java into builder-ctor-arg | changes | copyright | stash offload executor at build() time instead
grpc/grpc-java,10610,https://github.com/grpc/grpc-java/pull/10610,Make Ring Hash LB a petiole policy,"Implementation of A61 for Ring Hash

Major changes to behavior:
-   Lazy create PickFirstLoadBalancers rather than lazily connect subchannels
-   When picking, look for first entry in ring not in TF rather than focus on first 2 entries in the ring after hash",2023-11-09T21:46:52Z,larry-safran,larry-safran,"readability, readable",We need to figure out what is going on with your rebase process. The rebase also caused weirdness with the commit message.,"Change Round Robin and WeightedRoundRobin into petiole policies | Responded to a number of the code review comments. | suppress bogus warning. | Address code review comments improving reuse and avoiding creating children just to immediately delete them. | Checkpoint LeastRequestLoadBALANCERTEST | Complete LeastRequestLoadBalancer | revert changes to PickFirst that were made to expose status that is no longer needed | Checkpoint | Complete fixing implementation and tests so that all tests pass as expected. | Update picker logic per A61 that it no longer pays attention to the first 2 elements, but rather takes the first ring element not in TF and uses that.

Also, added some comments, fixed a couple of bugs in MultiChildLoadBalancer and replaced SubchannelView with direct usage of RingHashChildLbState. | Fix style issues. | Cleanup after rebasing. | Go back to caching the connectivity state when the RingHash picker is created and respond to some code review comments. | Change disable to not do shutdown and then have acceptResolvedAddresses explicitly do the shutdowns after updating picker by default | Add tests to make sure that removed addresses have their subchannels shutdown in acceptResolvedAddresses. | Per code review, split the updating children from updating balancing state and removed child cleanup in acceptResolvedAddresses. | Per code review, split the updating balancing state from the removed child cleanup when processing acceptResolvedAddresses. | Address code review issues.  Mostly simplifications.  Changed to not try to start a connection in updateBalancingState when there aren't any active subchannels. | Complete comment | Complete comment | Change rules for reporting overall state so that if nothing is ready and there are 2+ TF then report TF.  1 TF + idle/connecting report connecting. | Address checkstyle violations | Fix rebase problems | android: Remove unneeded proguard rule

The methods other than forTarget() were no longer used after 493af030.
forTarget() was no longer used after cda0e9d9. | stub: Deprecate StreamObservers (#10654)

This class is of questionable utility and generally not used. | Do nothing change to try to get builds to pull in later master"
grpc/grpc-java,11886,https://github.com/grpc/grpc-java/pull/11886,xds: improve code readability of server FilterChain parsing,"- Improve code flow and variable names
- Reduce nesting
- Add comments between logical blocks
- Add comments explaining some xDS/gRPC nuances",2025-02-11T01:14:07Z,sergiitk,sergiitk,"readability, readable",,"xds: improve code readability of server FilterChain parsing

- Improve code flow and variable names
- Reduce nesting
- Add comments between logical blocks
- Add comments explaining some xDS/gRPC nuances | Address the feedback: variable names; generate fc name from idx"
grpc/grpc-java,11962,https://github.com/grpc/grpc-java/pull/11962,replace ExpectedException in grpc-api and grpc-core,Related to #7467,2025-03-21T07:30:25Z,kannanjgithub,panchenko,"readability, readable",,replace ExpectedException in grpc-api | replace ExpectedException in grpc-core | style | CR | CR | CR | CR | CR | CR | CR | Merge branch 'master' into ExpectedException-api-core | CR
grpc/grpc-java,11992,https://github.com/grpc/grpc-java/pull/11992,xds: float LRU cache across interceptors,,2025-04-17T01:56:40Z,shivaspeaks,shivaspeaks,"readability, readable, understandable",,Float LRU Cache across interceptors | respect new cache_size | respect new cache_size | respect new cache_size | respect new cache_size | respect new cache_size | respect new cache_size | Address comment | Address comment | address suggestions
grpc/grpc-java,11867,https://github.com/grpc/grpc-java/pull/11867,xds: Improve XdsNR's selectConfig() variable handling,"The variables from the do-while are no longer initialized to let the compiler verify that the loop sets each. Unnecessary comparisons to null are also removed and is more obvious as the variables are never set to null. Added a minor optimization of computing the RPCs path once instead of once for each route. The variable declarations were also sorted to match their initialization order.

This does fix an unlikely bug where if the old code could successfully matched a route but fail to retain the cluster, then when trying a second time if the route was _not_ matched it would re-use the prior route and thus infinite-loop failing to retain that same cluster.

CC @larry-safran ",2025-02-05T18:37:22Z,ejona86,ejona86,"readability, readable",,"xds: Improve XdsNR's selectConfig() variable handling

The variables from the do-while are no longer initialized to let the
compiler verify that the loop sets each. Unnecessary comparisons to null
are also removed and is more obvious as the variables are never set to
null. Added a minor optimization of computing the RPCs path once instead
of once for each route. The variable declarations were also sorted to
match their initialization order.

This does fix an unlikely bug where if the old code could successfully
matched a route but fail to retain the cluster, then when trying a
second time if the route was _not_ matched it would re-use the prior route
and thus infinite-loop failing to retain that same cluster. | Verify weight is not negative | Add comments, s/action/routeAction/ | Add newline after retainCluster loop"
grpc/grpc-java,11520,https://github.com/grpc/grpc-java/pull/11520,Change PickFirstLeafLoadBalancer to only have 1 subchannel at a time,"Hide behind environment variable GRPC_SERIALIZE_RETRIES

This is for testing with GMS core to see if they use the new PF with only 1 subchannel at a time trying to reconnect whether that eliminates their 6% data increase.",2024-10-03T00:03:47Z,larry-safran,larry-safran,"readability, readable",Ready for re-review,"Change PickFirstLeafLoadBalancer to only have 1 subchannel at a time if environment variable GRPC_SERIALIZE_RETRIES == true.

Cache serializingRetries value so that it doesn't have to look up the flag every time.

Clear the correct task when READY in processSubchannelState and move the logic to cancelScheduledTasks

Cleanup based on PR review

remove unneeded checks for shutdown. | Fix previously broken tests | Fix previously broken tests | Shutdown previous subchannel when run off end of index. | Provide option to disable subchannel retries to let PFLeafLB take control of retries. | InternalSubchannel internally goes to IDLE when sees TF when reconnect is disabled.
Remove an extra index.increment in LeafLB
Fix spelling, remove unneeded additions | Make errorprone happy | Make checkstyle happy | Fix the other spelling mistake | Cleanup | Remove unneeded optimization"
grpc/grpc-java,11661,https://github.com/grpc/grpc-java/pull/11661,xds: Add counter and gauge metrics ,"This PR implements xDS client defined in [A78](https://github.com/grpc/proposal/blob/master/A78-grpc-metrics-wrr-pf-xds.md#xdsclient).

Counters
- grpc.xds_client.server_failure
- grpc.xds_client.resource_updates_valid
- grpc.xds_client.resource_updates_invalid

Gauges
- grpc.xds_client.connected
- grpc.xds_client.resources

The `grpc.xds.authority` label is missing, and will be added in a later PR.",2024-11-26T00:47:32Z,DNVindhya,DNVindhya,"readability, readable, easier to read","@ejona86 and @larry-safran thanks for both of your approvals. I have addressed all your comments. If you don't have any new/pending comments can I go ahead and merge? | Once you have approvals from everyone, you can go ahead a merge.
…
On Mon, Nov 25, 2024 at 3:06 PM Vindhya Ningegowda ***@***.***> wrote:
 @ejona86 <https://github.com/ejona86> and @larry-safran
 <https://github.com/larry-safran> thanks for both of your approvals. I
 have addressed all your comments. If you don't have any new/pending
 comments can I go ahead and merge?

 —
 Reply to this email directly, view it on GitHub
 <#11661 (comment)>,
 or unsubscribe
 <https://github.com/notifications/unsubscribe-auth/AZQMCXTO7DVWXV7XYA4NHNT2COUQFAVCNFSM6AAAAABRBI57B6VHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDIOJZGIYTINBWGA>
 .
 You are receiving this because you were mentioned.Message ID:
 ***@***.***>","Rebase master | Rebase #2 | fix javadoc | Instead of storing MetricRecorder, pass it as is for XdsClient creation | Move interfaces for reporting gauge values to XdsClient and update unit tests | Updated `ServerConnectionCallback#reportServerConnectionGauge` method signature and addressed review comments. | Inject  value from XdsClientMetricReporterImpl and addressed review comments | Moved resource count metric reporting from XdsClientImpl to XdsClientMetricReporterImpl and addressed review comments | fix typo | address review comment for javadoc | Updated verifyResourceMetadataNacked method to verify ResourceMetadata.cached value | Return Future instead of SettableFuture for reportServerConnections() and addressed review comments | Added unit test to verify ResourceMetadata.isCached() set to false on Nacked resource"
grpc/grpc-java,10318,https://github.com/grpc/grpc-java/pull/10318,Bidi Blocking Stub,Created a BlockingClientCall class that does blocking streams for all 3 streaming types.,2024-12-21T00:16:17Z,larry-safran,larry-safran,"readability, readable, easier to read","FWIW, I do have a really hard time understanding what the state of the code was when I last reviewed, so that I can see the changes. | Sorry about making such a mess with the rebase.  I'll wait until you're ready to approve before trying to rebase again. | Sorry about making such a mess with the rebase. I'll wait until you're ready to approve before trying to rebase again.

It was less that you did the rebase and more that I can't tell where I should start reading. If you had squashed all the commits before the rebase and fixes were on top, I'd have actually been fine. Right now the first commit is ""Fix a bunch of things"" so I get lost immediately.
I see now that if I keep looking at commits, they make sense again, so the first commit just had the wrong message. But also the commits are repeated a second time. Looks like it was just a bad rebase. | I did do a squash before the rebase, that's why I called it ""Fix a bunch of
things"".  I see that adding ""Squashed"" would have been a good idea.
…
On Fri, Oct 18, 2024 at 3:09 PM Eric Anderson ***@***.***> wrote:
 Sorry about making such a mess with the rebase. I'll wait until you're
 ready to approve before trying to rebase again.

 It was less that you did the rebase and more that I can't tell where I
 should start reading. If you had squashed all the commits before the rebase
 and fixes were on top, I'd have actually been fine. Right now the first
 commit is ""Fix a bunch of things"" so I get lost immediately.

 I see now that if I keep looking at commits, they make sense again, so the
 first commit just had the wrong message. But also the commits are repeated
 a second time. Looks like it was just a bad rebase.

 —
 Reply to this email directly, view it on GitHub
 <#10318 (comment)>,
 or unsubscribe
 <https://github.com/notifications/unsubscribe-auth/AZQMCXQZKNRYNUBD3ZEHN2TZ4GBJPAVCNFSM6AAAAAAZWJRQKWVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDIMRTGMYDONBRGY>
 .
 You are receiving this because you commented.Message ID:
 ***@***.***> | that's why I called it ""Fix a bunch of
things"".  I see that adding ""Squashed"" would have been a good idea.

A better name would have been ""Bidi Blocking Stub"" or similar, since it had all the implementation in it.","Fix a bunch of things | Restore things messed up by rebase | Fixed hang from not getting interrupted.
Added some 'final' to class definitions. | Generated service with blocking stream methods. | Reverse order of operations in BlockingClientCall.cancel to improve test reliability. | Revert ""Generated service with blocking stream methods.""

This reverts commit 3c63771a6de1e34e70015c86f5a644c19b762d6f. | Add ExperimentalApi to new blocking BlockingClientCall generated methods | Remove blocking from the creating a V2 ServerStreaming RPC which eliminates it throwing an exception. | android interop-testing builds | Switch from using jdk Predicate to the one in Guava | Switch method for Predicate from `test()` to `apply()`"
